iter	Passed	Remaining
1488	88800	30474
1489	88869	30418
1490	88955	30367
1491	89024	30311
1492	89099	30256
1493	89172	30201
1494	89253	30149
1495	89336	30097
1496	89409	30042
1497	89480	29986
1498	89563	29934
1499	89636	29878
1500	89715	29825
1501	89788	29770
1502	89860	29714
1503	89929	29657
1504	89996	29600
1505	90075	29546
1506	90147	29491
1507	90217	29434
1508	90303	29383
1509	90380	29328
1510	90454	29273
1511	90527	29217
1512	90599	29161
1513	90683	29109
1514	90761	29055
1515	90837	29000
1516	90923	28949
1517	91000	28894
1518	91069	28837
1519	91142	28781
1520	91223	28728
1521	91303	28674
1522	91377	28619
1523	91450	28563
1524	91524	28507
1525	91597	28451
1526	91672	28396
1527	91741	28339
1528	91812	28282
1529	91885	28226
1530	91961	28171
1531	92034	28115
1532	92109	28059
1533	92182	28003
1534	92257	27947
1535	92328	27890
1536	92403	27835
1537	92472	27777
1538	92544	27721
1539	92621	27666
1540	92705	27613
1541	92792	27561
1542	92867	27505
1543	92947	27450
1544	93027	27396
1545	93095	27338
1546	93171	27282
1547	93239	27224
1548	93318	27170
1549	93398	27115
1550	93483	27062
1551	93563	27007
1552	93639	26952
1553	93723	26898
1554	93807	26845
1555	93888	26790
1556	93964	26734
1557	94043	26679
1558	94118	26623
1559	94184	26564
1560	94253	26506
1561	94327	26450
1562	94397	26392
1563	94460	26333
1564	94529	26274
1565	94605	26218
1566	94677	26161
1567	94750	26104
1568	94815	26045
1569	94887	25988
1570	94963	25932
1571	95032	25874
1572	95107	25817
1573	95177	25759
1574	95252	25703
1575	95326	25646
1576	95387	25585
1577	95456	25527
1578	95532	25471
1579	95607	25414
1580	95675	25356
1581	95740	25296
1582	95817	25240
1583	95890	25183
1584	95958	25124
1585	96029	25066
1586	96107	25011
1587	96180	24953
1588	96250	24895
1589	96318	24836
1590	96382	24777
1591	96455	24719
1592	96517	24659
1593	96590	24602
1594	96652	24541
1595	96719	24482
1596	96786	24423
1597	96849	24363
1598	96908	24302
1599	96974	24243
1600	97043	24185
1601	97107	24125
1602	97179	24067
1603	97255	24010
1604	97324	23952
1605	97384	23891
1606	97459	23834
1607	97530	23776
1608	97603	23718
1609	97665	23658
1610	97729	23598
1611	97799	23539
1612	97853	23477
1613	97907	23415
1614	97969	23354
1615	98041	23296
1616	98112	23238
1617	98179	23179
1618	98259	23123
1619	98328	23064
1620	98398	23006
1621	98466	22947
1622	98538	22889
1623	98601	22828
1624	98677	22771
1625	98753	22714
1626	98818	22654
1627	98892	22597
1628	98959	22537
1629	99023	22477
1630	99092	22418
1631	99153	22358
1632	99221	22299
1633	99290	22240
1634	99355	22180
1635	99425	22121
1636	99485	22060
1637	99553	22001
1638	99627	21943
1639	99693	21883
1640	99765	21825
1641	99840	21767
1642	99909	21708
1643	99974	21648
1644	100044	21590
1645	100112	21530
1646	100182	21472
1647	100252	21413
1648	100344	21359
1649	100412	21299
1650	100470	21238
1651	100535	21178
1652	100603	21118
1653	100660	21057
1654	100724	20996
1655	100784	20936
1656	100854	20876
1657	100914	20815
1658	100971	20754
1659	101032	20693
1660	101098	20633
